epoch,accuracy,dice_coef,loss,val_accuracy,val_dice_coef,val_loss
0,0.3658895194530487,0.23710200190544128,1.353688359260559,0.26792481541633606,0.15807586908340454,1.4727083444595337
1,0.5381772518157959,0.36322739720344543,1.0379784107208252,0.4580945670604706,0.17923003435134888,1.3762043714523315
2,0.5107414126396179,0.3619708716869354,1.0431327819824219,0.40660345554351807,0.20299416780471802,1.307787299156189
3,0.568093478679657,0.41104570031166077,0.926213800907135,0.47208186984062195,0.23203633725643158,1.2022044658660889
4,0.5419257879257202,0.40019968152046204,0.9684681296348572,0.5059117078781128,0.2708461880683899,1.0781826972961426
5,0.5468854308128357,0.3917703628540039,0.9614094495773315,0.5166704654693604,0.33389216661453247,0.9936851263046265
6,0.556458592414856,0.421600341796875,0.8985502123832703,0.5241305828094482,0.3522852957248688,0.9570372104644775
7,0.5414535999298096,0.40299609303474426,1.0069496631622314,0.5535526871681213,0.3876761198043823,0.862473726272583
8,0.5485084056854248,0.4108283519744873,0.9293583035469055,0.5735529065132141,0.4127180576324463,0.8409939408302307
9,0.5605685114860535,0.4188508093357086,0.9210260510444641,0.5292395949363708,0.42368510365486145,0.8523402810096741
10,0.592086672782898,0.4493792653083801,0.8173146843910217,0.5910407900810242,0.46256905794143677,0.8107651472091675
11,0.5730752348899841,0.44376540184020996,0.864192545413971,0.5928718447685242,0.4936911463737488,0.6937693357467651
12,0.6185122728347778,0.47298625111579895,0.7738479375839233,0.6038921475410461,0.4686557948589325,0.7468540072441101
13,0.620086133480072,0.4771760404109955,0.8268460035324097,0.6337843537330627,0.5130557417869568,0.680404543876648
14,0.5825021862983704,0.4473491609096527,0.8155182600021362,0.7028879523277283,0.5274885892868042,0.6498374938964844
15,0.6435669660568237,0.4817771911621094,0.7670205235481262,0.6102169752120972,0.5112982392311096,0.7264103889465332
16,0.6313663721084595,0.48622143268585205,0.7664146423339844,0.6037604808807373,0.5191493034362793,0.6081214547157288
17,0.6302996873855591,0.48261380195617676,0.793280839920044,0.6509784460067749,0.5398975610733032,0.657762885093689
18,0.602931559085846,0.4616594612598419,0.8070269227027893,0.6540904641151428,0.5704387426376343,0.5664213299751282
19,0.6343185305595398,0.4818194508552551,0.7596049904823303,0.6501034498214722,0.571158230304718,0.583286702632904
20,0.6587210297584534,0.5183155536651611,0.6687578558921814,0.635728657245636,0.5356305241584778,0.6624721884727478
21,0.6687929630279541,0.5194437503814697,0.7051831483840942,0.6453362107276917,0.5546497702598572,0.6094526052474976
22,0.6425535678863525,0.5036448836326599,0.7268459796905518,0.6575853824615479,0.5716429948806763,0.5531045198440552
23,0.6447691321372986,0.5009995698928833,0.7489446401596069,0.658643364906311,0.5569043159484863,0.5783924460411072
24,0.6636511087417603,0.5149747729301453,0.7099212408065796,0.690841794013977,0.619203507900238,0.49484097957611084
25,0.6689976453781128,0.5207135677337646,0.7006383538246155,0.690735399723053,0.5971130728721619,0.5536417961120605
26,0.6811689138412476,0.5436142086982727,0.6887418627738953,0.6930439472198486,0.6180459260940552,0.4772852957248688
27,0.6712280511856079,0.5366305112838745,0.636671245098114,0.6893510222434998,0.5919978618621826,0.536221444606781
28,0.6437087059020996,0.5051884651184082,0.7574195265769958,0.6525425314903259,0.5650990605354309,0.553267240524292
29,0.6999090909957886,0.561460554599762,0.5540557503700256,0.6799444556236267,0.6057363748550415,0.49127697944641113
30,0.6334340572357178,0.49659842252731323,0.7422118186950684,0.7094079256057739,0.6216627955436707,0.49982312321662903
31,0.709417998790741,0.5617719888687134,0.648041844367981,0.66312575340271,0.5862118005752563,0.5300819873809814
32,0.6731902956962585,0.5356196165084839,0.641247570514679,0.7050427794456482,0.6459625363349915,0.46901893615722656
33,0.677258312702179,0.5445154905319214,0.6677971482276917,0.6825464963912964,0.6063315272331238,0.5052353739738464
34,0.6723529100418091,0.5299477577209473,0.6556551456451416,0.7124441266059875,0.627196192741394,0.4799480736255646
35,0.7164101004600525,0.5782108306884766,0.5651080012321472,0.6745098233222961,0.5982730984687805,0.485872358083725
36,0.7095068097114563,0.5669199228286743,0.5985060334205627,0.7130479216575623,0.6301797032356262,0.45516237616539
37,0.7026946544647217,0.5715414881706238,0.6057791709899902,0.6749998927116394,0.5786299705505371,0.5220075249671936
38,0.7033336758613586,0.5638837218284607,0.6034237146377563,0.7127691507339478,0.634668231010437,0.46123403310775757
39,0.701313853263855,0.5791798830032349,0.5292518138885498,0.6980206966400146,0.6164219975471497,0.45657283067703247
40,0.7151697874069214,0.572121262550354,0.595749020576477,0.7151183485984802,0.6230474710464478,0.47867465019226074
41,0.7059158682823181,0.572102963924408,0.5535318851470947,0.7034761309623718,0.6232559680938721,0.4634339213371277
42,0.6882308721542358,0.5645385384559631,0.6352827548980713,0.72010338306427,0.6446934342384338,0.4490188658237457
43,0.7249202728271484,0.5936897397041321,0.545390248298645,0.7025319337844849,0.6234992742538452,0.49083495140075684
44,0.725979745388031,0.5963405966758728,0.5419373512268066,0.702690839767456,0.6239761114120483,0.46113529801368713
45,0.726417601108551,0.5942994356155396,0.5326743721961975,0.7214878797531128,0.6471539735794067,0.4401557445526123
46,0.7227673530578613,0.5862249732017517,0.564588189125061,0.6922754645347595,0.6096904873847961,0.4640439450740814
47,0.716362476348877,0.5860451459884644,0.5747910737991333,0.6967015266418457,0.6293125152587891,0.4359000027179718
48,0.7174800634384155,0.5895698070526123,0.5543550252914429,0.7288399934768677,0.6603323221206665,0.42816922068595886
49,0.7363128662109375,0.5883154273033142,0.562243640422821,0.7068870663642883,0.6312587261199951,0.44255033135414124
